Date,Market,Market Size,Product,Product Type,State,Type,Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses
2012/1/1 上午 12:00:00,Central,Major Market,Amaretto,Coffee,Colorado,Regular,719,90,130,100,220,89,777,130,24,94,219,36
2012/1/1 上午 12:00:00,Central,Major Market,Colombian,Coffee,Colorado,Regular,970,80,110,80,190,83,623,107,27,68,190,39
2012/1/1 上午 12:00:00,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,970,100,140,110,240,95,821,139,26,101,234,38
2012/1/1 上午 12:00:00,Central,Major Market,Green Tea,Tea,Colorado,Regular,303,30,50,30,80,44,623,56,14,30,100,26
2012/1/1 上午 12:00:00,Central,Major Market,Caffe Mocha,Espresso,Colorado,Regular,303,60,90,70,150,54,456,80,15,54,134,26
2012/1/1 上午 12:00:00,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,720,80,130,80,210,72,558,108,23,53,180,55
2012/1/1 上午 12:00:00,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,970,140,160,110,300,170,"1,091",171,47,99,341,72
2012/1/1 上午 12:00:00,Central,Major Market,Lemon,Herbal Tea,Colorado,Decaf,719,50,80,20,130,63,435,87,57,0,150,87
2012/1/1 上午 12:00:00,Central,Major Market,Mint,Herbal Tea,Colorado,Decaf,970,50,70,40,120,60,336,80,19,33,140,47
2012/1/1 上午 12:00:00,Central,Major Market,Darjeeling,Tea,Colorado,Regular,719,40,70,20,110,58,338,72,22,17,130,55
2012/1/1 上午 12:00:00,Central,Major Market,Earl Grey,Tea,Colorado,Regular,303,50,70,40,120,64,965,76,19,36,140,40
2012/1/1 上午 12:00:00,Central,Major Market,Colombian,Coffee,Illinois,Regular,217,150,210,130,360,144,862,201,47,111,345,90
2012/1/1 上午 12:00:00,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,309,100,140,100,240,95,608,139,30,87,234,52
2012/1/1 上午 12:00:00,Central,Major Market,Caffe Mocha,Espresso,Illinois,Regular,309,270,370,260,640,234,"1,310",312,77,203,546,109
2012/1/1 上午 12:00:00,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,630,260,270,180,530,228,"1,459",228,63,140,456,88
2012/1/1 上午 12:00:00,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,312,70,120,100,190,89,777,130,24,95,219,35
2012/1/1 上午 12:00:00,Central,Major Market,Lemon,Herbal Tea,Illinois,Decaf,630,70,90,60,160,83,623,107,27,68,190,39
2012/1/1 上午 12:00:00,Central,Major Market,Mint,Herbal Tea,Illinois,Decaf,773,80,120,100,200,95,821,139,26,101,234,38
2012/1/1 上午 12:00:00,Central,Major Market,Darjeeling,Tea,Illinois,Regular,217,40,70,50,110,54,456,80,15,53,134,27
2012/1/1 上午 12:00:00,Central,Major Market,Earl Grey,Tea,Illinois,Regular,708,60,90,40,150,72,558,108,23,54,180,54
2012/1/1 上午 12:00:00,Central,Small Market,Amaretto,Coffee,Iowa,Regular,319,10,30,20,40,18,821,27,5,11,45,16
2012/1/1 上午 12:00:00,Central,Small Market,Colombian,Coffee,Iowa,Regular,641,20,40,20,60,28,965,34,8,5,62,29
2012/1/1 上午 12:00:00,Central,Small Market,Decaf Irish Cream,Coffee,Iowa,Decaf,712,20,30,20,50,23,623,31,7,12,54,19
2012/1/1 上午 12:00:00,Central,Small Market,Caffe Mocha,Espresso,Iowa,Regular,563,10,40,30,50,17,777,26,4,11,43,15
2012/1/1 上午 12:00:00,Central,Small Market,Decaf Espresso,Espresso,Iowa,Decaf,563,10,40,30,50,17,777,26,4,10,43,16
2012/1/1 上午 12:00:00,Central,Small Market,Chamomile,Herbal Tea,Iowa,Decaf,641,200,280,200,480,234,"1,310",312,77,202,546,110
2012/1/1 上午 12:00:00,Central,Small Market,Lemon,Herbal Tea,Iowa,Decaf,563,80,120,90,200,95,608,139,30,86,234,53
2012/1/1 上午 12:00:00,Central,Small Market,Darjeeling,Tea,Iowa,Regular,712,190,210,140,400,228,"1,459",228,63,141,456,87
2012/1/1 上午 12:00:00,Central,Small Market,Earl Grey,Tea,Iowa,Regular,319,210,270,160,480,245,"1,419",301,93,175,546,126
2012/1/1 上午 12:00:00,Central,Small Market,Colombian,Coffee,Missouri,Regular,636,90,100,40,190,85,494,105,32,39,190,66
2012/1/1 上午 12:00:00,Central,Small Market,Decaf Irish Cream,Coffee,Missouri,Decaf,573,80,90,50,170,78,965,92,24,47,170,45
2012/1/1 上午 12:00:00,Central,Small Market,Green Tea,Tea,Missouri,Regular,417,20,40,0,60,34,197,42,12,-4,76,46
2012/1/1 上午 12:00:00,Central,Small Market,Caffe Mocha,Espresso,Missouri,Regular,573,50,90,70,140,50,821,73,14,48,123,25
2012/1/1 上午 12:00:00,Central,Small Market,Decaf Espresso,Espresso,Missouri,Decaf,660,50,80,60,130,46,777,68,12,45,114,23
2012/1/1 上午 12:00:00,Central,Small Market,Chamomile,Herbal Tea,Missouri,Decaf,573,30,40,0,70,37,261,53,34,-11,90,64
2012/1/1 上午 12:00:00,Central,Small Market,Lemon,Herbal Tea,Missouri,Decaf,314,70,10,-20,80,88,525,11,27,-39,99,50
2012/1/1 上午 12:00:00,Central,Small Market,Darjeeling,Tea,Missouri,Regular,314,30,40,10,70,35,196,47,11,9,82,38
2012/1/1 上午 12:00:00,Central,Small Market,Earl Grey,Tea,Missouri,Regular,573,20,30,-10,50,29,169,36,11,-9,65,45
2012/1/1 上午 12:00:00,Central,Major Market,Amaretto,Coffee,Ohio,Regular,740,60,80,50,140,60,336,80,19,34,140,46
2012/1/1 上午 12:00:00,Central,Major Market,Colombian,Coffee,Ohio,Regular,614,60,80,50,140,57,364,83,18,42,140,41
2012/1/1 上午 12:00:00,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,614,60,90,20,150,63,435,87,57,0,150,87
2012/1/1 上午 12:00:00,Central,Major Market,Earl Grey,Tea,Ohio,Regular,216,70,100,60,170,84,500,116,26,67,200,49
2012/1/1 上午 12:00:00,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,614,60,90,40,150,58,338,72,22,16,130,56
2012/1/1 上午 12:00:00,Central,Major Market,Caffe Mocha,Espresso,Ohio,Regular,614,190,210,140,400,170,"1,091",171,47,99,341,72
2012/1/1 上午 12:00:00,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,937,20,50,50,70,32,456,48,8,29,80,19
2012/1/1 上午 12:00:00,Central,Major Market,Lemon,Herbal Tea,Ohio,Decaf,740,20,50,50,70,32,821,48,8,29,80,19
2012/1/1 上午 12:00:00,Central,Major Market,Darjeeling,Tea,Ohio,Regular,567,70,110,60,180,84,651,126,27,68,210,58
2012/1/1 上午 12:00:00,Central,Small Market,Amaretto,Coffee,Wisconsin,Regular,262,50,70,30,120,54,312,66,20,13,120,53
2012/1/1 上午 12:00:00,Central,Small Market,Colombian,Coffee,Wisconsin,Regular,262,80,110,20,190,79,551,111,72,9,190,102
2012/1/1 上午 12:00:00,Central,Small Market,Decaf Irish Cream,Coffee,Wisconsin,Decaf,414,80,100,60,180,77,432,103,25,51,180,52
2012/1/1 上午 12:00:00,Central,Small Market,Earl Grey,Tea,Wisconsin,Regular,262,60,90,10,150,75,522,105,68,7,180,98
2012/1/1 上午 12:00:00,Central,Small Market,Decaf Espresso,Espresso,Wisconsin,Decaf,262,50,70,50,120,48,623,62,15,34,110,28
2012/1/1 上午 12:00:00,Central,Small Market,Caffe Mocha,Espresso,Wisconsin,Regular,414,80,90,50,170,69,965,81,21,38,150,43
2012/1/1 上午 12:00:00,Central,Small Market,Chamomile,Herbal Tea,Wisconsin,Decaf,715,50,100,80,150,67,400,113,20,70,180,43
2012/1/1 上午 12:00:00,Central,Small Market,Lemon,Herbal Tea,Wisconsin,Decaf,715,20,50,50,70,33,777,48,9,28,81,20
2012/1/1 上午 12:00:00,Central,Small Market,Darjeeling,Tea,Wisconsin,Regular,608,50,80,50,130,61,390,89,19,47,150,42
2012/1/1 上午 12:00:00,East,Small Market,Darjeeling,Tea,Connecticut,Regular,475,50,80,60,130,50,821,73,14,47,123,26
2012/1/1 上午 12:00:00,East,Small Market,Green Tea,Tea,Connecticut,Regular,475,40,60,40,100,38,777,56,10,35,94,21
2012/1/1 上午 12:00:00,East,Small Market,Decaf Espresso,Espresso,Connecticut,Decaf,475,50,70,40,120,55,312,75,18,30,130,45
2012/1/1 上午 12:00:00,East,Small Market,Caffe Mocha,Espresso,Connecticut,Regular,860,70,100,20,170,75,522,105,68,7,180,98
2012/1/1 上午 12:00:00,East,Small Market,Colombian,Coffee,Connecticut,Regular,475,110,180,130,290,124,961,186,40,115,310,71
2012/1/1 上午 12:00:00,East,Small Market,Lemon,Herbal Tea,Connecticut,Decaf,860,60,80,40,140,85,494,105,32,40,190,65
2012/1/1 上午 12:00:00,East,Small Market,Mint,Herbal Tea,Connecticut,Decaf,475,50,80,50,130,78,965,92,24,47,170,45
2012/1/1 上午 12:00:00,East,Major Market,Darjeeling,Tea,Florida,Regular,954,30,50,40,80,32,821,48,8,28,80,20
2012/1/1 上午 12:00:00,East,Major Market,Green Tea,Tea,Florida,Regular,754,30,50,40,80,33,777,48,9,28,81,20
2012/1/1 上午 12:00:00,East,Major Market,Decaf Espresso,Espresso,Florida,Decaf,754,70,100,60,170,77,432,103,25,50,180,53
2012/1/1 上午 12:00:00,East,Major Market,Caffe Mocha,Espresso,Florida,Regular,239,70,110,30,180,79,551,111,72,9,190,102
2012/1/1 上午 12:00:00,East,Major Market,Decaf Irish Cream,Coffee,Florida,Decaf,754,80,110,70,190,84,500,116,26,67,200,49
2012/1/1 上午 12:00:00,East,Major Market,Colombian,Coffee,Florida,Regular,954,80,110,70,190,84,651,126,27,68,210,58
2012/1/1 上午 12:00:00,East,Major Market,Chamomile,Herbal Tea,Florida,Decaf,863,30,50,30,80,48,623,62,15,34,110,28
